,NSheets,WidthWater,LengthGraphene,Temperature,dT,Pressure,ContactAngle,SurfaceTension,RelativeDensity,RelativeTBR,std_rho,std_R,RelativeDessityError,RelativeTBCError
144,38,50,60,300,100,1,95,72.93553574,2.657481772737755,0.6186493185,0.1185,0.1185,0.02836612487928646,0.012486611165487023
138,38,20,60,300,100,1,95,72.93553574,2.6658685571395484,0.5024783147,0.08732000000000001,0.08732000000000001,0.03251620597758043,0.02144892156757762
105,8,30,60,280,100,1,70,75.74188565,2.6677497997084365,0.9866790581999999,0.4861,0.4861,0.06731592189039375,0.062138665898929996
74,8,30,60,300,100,900,70,72.93553574,2.7204377357059797,0.6428128872,0.07508,0.07508,0.023125290112201123,0.019039816332298818
104,8,30,60,280,100,1,40,75.74188565,2.7331393485397255,0.8444857497,0.1827,0.1827,0.05260024168869428,0.022435975111559897
111,8,30,60,340,100,1,70,66.70946579,2.7432684542447845,0.7403965304000001,0.1555,0.1555,0.03960583095614034,0.023470134253232907
59,8,30,60,300,100,180,0,72.93553574,2.7491652160611575,0.4677819083,0.07037,0.07037,0.008434018952724366,0.02889823017461012
98,8,30,60,260,100,1,40,78.33244767,2.7865997433433254,0.9457868649,0.1125,0.1125,0.016847093157220466,0.04107515185411211
68,8,30,60,300,100,900,40,72.93553574,2.823943048205509,0.5006195787,0.111,0.111,0.014152376175874356,0.01988783402529074
62,8,30,60,300,100,900,0,72.93553574,3.1561678916159988,0.3782527881,0.09851,0.09851,0.03591758471017604,0.01318446990745058
16,8,30,60,300,100,1,40,72.93553574,3.1674671165841843,0.636307311,0.1827,0.1827,0.040782349195950245,0.030970628737842128
116,8,30,60,360,100,1,40,63.30859851,3.1721424380996375,0.5954151177,0.1051,0.1051,0.026393959730581278,0.05817289549727884
102,8,30,60,280,100,1,0,75.74188565,3.1942278561362842,0.7221189591,0.057879999999999994,0.057879999999999994,0.009919036299921583,0.024677589739808277
96,8,30,60,260,100,1,0,78.33244767,3.2241629248648738,0.8234200743000001,0.1313,0.1313,0.015464633837381178,0.03138644450888317
110,8,30,60,340,100,1,40,66.70946579,3.251048333438391,0.5982032218,0.1219,0.1219,0.030741407859955733,0.03453032576191706
14,8,30,60,300,100,1,0,72.93553574,3.629947690947088,0.5139405204,0.057879999999999994,0.057879999999999994,0.012762836775362135,0.032106148210230424
114,8,30,60,360,100,1,0,63.30859851,3.6497481056143757,0.4730483271,0.09688,0.09688,0.030164542205934557,0.01891969209629418
108,8,30,60,340,100,1,0,66.70946579,3.840727595383235,0.47583643119999997,0.1524,0.1524,0.0245435032055418,0.016604832106492627
26,18,30,60,300,100,5000,95,72.93553574,3.86411826655713,0.31660470879999997,0.09688,0.09688,0.08273313292321416,0.043954854432987335
20,18,30,60,300,100,1,0,72.93553574,4.192230916574933,0.2772614622,0.1524,0.1524,0.04640473805578242,0.0301350964409688
